cenarios,situacao,aventura,OpcaoA,OpcaoB,Probabilidade de sucesso A,Probabilidade de sucesso B,Sucesso A,Sucesso B,Fracasso A,Fracasso B
Montanha,1,Niko estava indo atras dos bandidos ate que encontra um grupo de bandidos acampando.,Ele pode ataca-los diretamente ou tentar uma abordagem furtiva.,Ele encontra um caminho entre as montanhas e tenta pegar os bandidos de surpresa,88,75,Kiko derrota os bandidos com sucesso e obtem informaoces sobre o paradeiro dos responsaveis pelo assassinato de sua irma.,Kiko encontra uma rota segura pelo vale e avanca em sua jornada sem enfrentar obstaculos significativos.,"Os bandidos percebem Kiko e o atacam, deixando-o ferido e desarmado.","O caminho pela montanha revela-se instavel, e Kiko sofre uma queda, machucando-se gravemente."
Montanha,2,Enquanto estava andando pelas montanhas Niko se depara com uma caverna suspeita,Ele pode entrar na caverna em busca de pistas,Contorna-la e seguir seu caminho,80,80,Kiko descobre evidencias cruciais dentro da caverna que o levam mais perto de encontrar os responsaveis pelo assassinato de sua irma.,Kiko nao perde nada pois a caverna so tinha alguns morcegos e aranhas,"Dentro da caverna, Kiko e emboscado por armadilhas e fica preso.",Kiko perdeu uma pista muito significativa para a busca do assasino.
Montanha,3,Niko chega a um acampamento abandonado,Ele pode procurar por pistas uteis no local,Ele prefere seguir em frente e deixar esse acampamento para tras,90,75,Kiko encontra uma pista importante que o leva ao próximo ponto-chave em sua busca por vingança.,Ele consegue chegar em seu destino mais rapido e encontra uma grande pista do asssasino,"Ao vasculhar o acampamento, Kiko e surpreendido por um grupo de bandidos escondidos.",Kikko acaba sendo atacado por ursos que estavam ali perto
Montanha,4,Niko avista uma torre de vigia então ele decide,Ele pode tentar se infiltrar na torre,Contorna-la e seguir seu caminho.,77,70,"Kiko se infiltra na torre com sucesso, obtem informacoes valiosas e avanca em sua busca com confianca renovada.",Kiko depois de dar a volta na torre percebe que era um emboscada e fica observando os  passos dos bandidos,Kiko e capturado pelos guardas da torre e levado como prisioneiro,Os bandidos ja estavam esperando o Kiko dar a volta e perseguiram e pegaram Kiko
Montanha,5,Niko finalmente encontra o esconderijo dos bandidos,Ele pode optar por uma abordagem furtiva para surpreende-los,Ele lanca um ataque direto,88,92,Kiko surpreende os bandidos e os derrota conseguindo uma das pistas mais importantes que era que o assasino estva no deserto de Gobi que fica na Asia.,Kiko consegue derrotar todoas seus inimigos e recebe uma pista valiosa descobrindo que seu alvo esta no deserto.,Kiko e superado em numero pelos bandidos e acaba sendo derrotado,Os bandidos ja esperavam por Kiko entao Kiko foi derrotado
Deserto,6,Enquanto você andava pelo deserto em busca de pistas segundo o seu informante voce se depara com um senhor com seu camelo entao voce prefere,Tentar roubar o camelo do senhor,Pedir uma carona para o senhor,70,90,Você consegue assustar o senhor com um pedaco de madeira e consegue pegar o camelo seguindo a viagem agora voce fica menos cansado,O senhor foi bondoso com voce e te ajudou com uma carona voces passaram a maior parte do tempo conversando sobre a vida,"O senhor consegue ganhar de voce em uma luta pelo o camelo, e ele consegue chamar ajuda entao voce acaba sendo preso","O senhor se recusa a dar carona para voce, entao você fica perdido no meio desse deserto enorme levando a um fim triste"
Deserto,7,Quando estava andando pelo deserto eu olho para o chao e me deparo com a cobra mais venenosa do mundo entao me desesperei o que vou fazer,Eu tento correr o mais rapido que consigo para fugir dela,Eu tento matar ela com um pedaco de madeira que encontrei no chao,85,76,Eu consegui juntei todas as forças que eu tinha e consegui correr mas foi dificil agora estou muito cansado preciso descansar um pouco e tambem tomar um pouco de agua,Com as forcas que eu nem sabia que eu tinha consegui vencer essa batalha contra essa cobra mas essa luta foi muito complicada ,Voce tenta correr da cobra mas acaba torcendo seu tornolezo e não consegue escapar da cobra mortal,Voce ate tenta acertar a cobra com o pedaco da madeira mas acaba errando entao a cobra consegue morder voce
Deserto,8,Essa cobra me deixou cansado viu estou com muita cede mas parece que tem um pouco de agua aqui no chao nao sei se,Eu devo beber essa agua, Acho melhor não beber essa agua,76,74,Nossa essa agua nao era muito confiavel mas estava muito boa entao valeu a pena arriscar agora tenho mais energia para continuar em busca do meu objetivo,Vou continuar meu caminho essa agua parece estar contaminada... Opa parece que eu encontrei agua potavel essa sim e uma agua de verdade... Ufa ja estava quase desistindo mas agora estou bem,Voce acaba bebendo a agua mas ela era contaminada entao voce acaba falecendo,Voce prefere continuar a caminhada mas voce nao encontra mais agua que resulta em seu falecimento
Deserto,9,Opa esse tempo esta estranho parece que vai acontecer alguma coisa... olha esta vindo uma tempestade de areia e agora,Eu vou me esconder atras dessa pedra, Vou me esconder atras desse tronco de arvore,72,72,Consigo me esconder atras dessa pedra e nada acontece comigo,Consigo me esconder nesse tronco e nada acontece comigo,"O vento foi mais forte que voce imaginava entao a pedra acabou voando, voce sem saber o que fazer tenta correr mas nao tem sucesso em seu plano","O tronco acaba quebrando e muita areai entro em seu olho, voce sem perceber acaba pisando em um escorpiao que assustado pica voce "
Deserto,10,Ele encontrou uma tribo nativa no deserto entao,Pedir ajuda a tribo,Tenta se infiltrar na tribo,70,70, A tribo foi muito gentil e ajudou voce com suprimentos basicos ,A tribo nao desconfiou de você com isso você conseguiu ropubar suprimentos basicos,A tribo achou que voce era um impostor e acabou prendendo voce la,A tribo descobriu que você era um impostor entao fizeram uma reuniao para ver o que fazer com voce e foi decidido o pior...
